,Company Type,Why Specifically Is It On the List?,Which Products?,Customer Service Phone #,Corporate HQ Phone #,Email / Email Contact Form,PR Contact Info & More (Info Gathered From Publicly Available Sources),Recommended Action to be Considered for Removal from Boycott List,"# of Items Stocked (Last inventory Check: January 30, 2017)"
Nordstrom,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"shoes, clothing, handbags",1 (888) 282-6060,1 (206) 628-2111,https://nordstrom.custhelp.com/app/ask/incidents.c$sent_queueid/12,"NordstromPR@Nordstrom.com, blake.nordstrom@nordstrom.com (co-president), erik.nordstrom@nordstrom.com (co-president), peter.nordstrom@nordstrom.com (co-president), Jamie.nordstrom@nordstrom.com (co-president), Geevy.thomas@nordstrom.com (co-president) Note: all email address info is publicly available online.",Stop selling Trump brand goods,17
Macy’s,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"clothing, jewelry, handbags",1 (800) 289-6229,1 (513) 579-7000,http://survey.medallia.com/?mcy-tuwyt-com,"holly.thomas@macys.com, julie.striderfukami@macys.com, orlando.veras@macys.com,tracy.davis@macys.com, christine.olver@macys.com, billy.dume@macys.com, melissa.goff@macys.com, juliana.echavarria@macys.com, melody.regalado@macys.com, Nathalie.almonte@macys.com, andrea.schwartz@macys.com,",Stop selling Trump brand goods,91
Neiman Marcus,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,jewelry,1 (888) 888-4757,1 (562) 463-9333,https://www.neimanmarcus.com/assistance/contactUs.jsp,hillary_stonger@neimanmarcus.com Ginger_Reeder@neimanmarcus.com,Stop selling Trump brand goods,21
LL Bean,Board member raised funds for Trump PAC,Supportive of Trump (raised $),retail,1 (800) 441-5713,207-552-6072,https://help.llbean.com/system/templates/chat/core_email/chat.html?ver=v14&entryPointId=-1&eglvrefname=&aId=EG62159219&sId=E29d45e87a-d26d-46bb-a516-8ffac0b98010&uId=C1725d3901-e833-41fe-ac2c-6b867dd7db51&templateName=core_email&languageCode=en&countryCode=US&name=&email=&phone=&zip=&custid=&referer=http%3A%2F%2Fwww.llbean.com%2Fllb%2Fshop%2F510618%3FbvCategory%3D510618%26nav%3Dftlink,publicaffairs@llbean.com,Remove Linda Bean from board,N/A
Bloomingdale’s,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,shoes & handbags,1 (800) 777-0000,1 (212) 705-2000,http://survey.medallia.com/?blm-tuwyt-com,"anne.keating@bloomingdales.com, julia.austin@bloomingdales.com, curtis.kelly@bloomingdales.com, suzy.nager@bloomingdales.com",Stop selling Trump brand goods,74
Dillard's,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,clothing & accessories,1 (800) 345-5273,1 (501) 376-5200,http://www.dillards.com/c/ContactUs,julie.bull@dillards.com,Stop selling Trump brand goods,93
Zappos,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"shoes, clothing, handbags+",1 (800) 927-7671,1 (702) 943-7777,https://secure-www.zappos.com/contact,PR@zappos.com / ceo@zappos.com,Stop selling Trump brand goods,205
Amazon*,Retailer that Sells Trump Family Products,Carries Donald & Ivanka Trump products,"shoes, clothing, home",1 (888) 280-4331,1 (206) 266-1000,https://www.amazon.com/gp/help/contact-us/general-questions.html?skip=true,"amazon-pr@amazon.com, jeff@amazon.com (note: Mr Bezos' email is publicly available.)",Stop selling Trump brand goods,539
TJ Maxx,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,accessories,1 (800) 926-6299,1 (508) 390-1000,http://tjmaxx.tjx.com/store/jump/topic/contact-us/3200004,"Dyana.Buttacavoli@Edelman.com, brooke.hardington@edelman.com",Stop selling Trump brand goods,Brick and mortar check
Lord & Taylor,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"clothing, jewelry, handbags",1 (800) 223-7440,1 (212) 391-3344,https://www.lordandtaylor.com/webapp/wcs/stores/servlet/en/lord-and-taylor/content-view/Contact-Us,jenia_molnar@lordandtaylor.com,Stop selling Trump brand goods,428
6pm.com,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"shoes, clothing, accessories",1 (888) 676-2660,(702) 943-7777,cs@6pm.com,PR@zappos.com / ceo@zappos.com,Stop selling Trump brand goods,287
ABC Supply,CEO raised funds for Trump and/or Trump PAC,Supportive of Trump (funds),supply company,1-888-492-1047,1-888-492-1047,https://www.abcsupply.com/help/negative-feedback-form,kgoodale@hiebing.com,Remove senior executive leaders financially supportive of Trump,
Century 21 Dept. Store,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"shoes, clothing",1 (877) 350-2121,1 (888) 221-2551,https://www.c21stores.com/contact,Adriana.Infante@rbbpr.com,Stop selling Trump brand goods,88
Bed Bath & Beyond,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,diaper bags,1 (800) 462-3966,1 (908) 688-0888,https://www.bedbathandbeyond.com/store/selfservice/ContactUs?AID=11469020&PID=7922300&SID=17187X1541030X4bd6c642e4c9e7f4640e43d965fb2b22&source=Commission+Junction&utm_source=Skimlinks&utm_medium=affiliate&utm_campaign=Bed+Bath+%2526+Beyond+Deep+Link&mcid=AF_CJ___2617611,public.relations@bedbath.com,Stop selling Trump brand goods,4
Belk.com,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,shoes & handbags,1 (866) 235-5443,1 (704) 357-1000,http://www.belkfeedback.com/?AspxAutoDetectCookieSupport=1,Jessica_Graham@belk.com,Stop selling Trump brand goods,30
Bluefly,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,shoes,1 (877) 258-3359,1 (212) 944-8000,flyrep@bluefly.com,not available,Stop selling Trump brand goods,146
Bon-Ton,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,clothing,1 (800) 233-7626,1 (800) 937-5449,http://investors.bonton.com/contactus.cfm,Christine.Hojnacki@bonton.com // ir@bonton.com,Stop selling Trump brand goods,178
"Breitbart ""News""",Hate speech site / propogates fake news,Hate speech,media / publication,310-508-0220,310-508-0220,TBD,TBD,N/A,
Build.com,Retailer that Sells Trump Family Products,Carries Trump Home products,home furnishings,1 (800) 375-3403,1 (800) 375-3403,https://www.build.com/support/email_us,pr@build.com,N/A,Permanent add
Burlington Coat Factory,Retailer that Sells Trump Family Products,Ivanka,clothing & accessories,1 (855) 355-2875,1 (609) 387-7800,http://www.burlingtoncoatfactory.com/contactus.aspx,ClareB@mbooth.com,Stop selling Trump brand goods,12
Buy Buy Baby,Retailer that Sells Trump Family Products,Ivanka,shoes & accessories,1 (877) 328-9222,1 (908) 688-0888,https://www.buybuybaby.com/store/selfservice/ContactUs,public.relations@bedbath.com (Bed Bath & Beyond is parent company),Stop selling Trump brand goods,7
Carnival Corporation,Celebrity Apprentice advertiser,Supportive of Trump Brand,advertising,1 (800) 764-7419,1 (800) 764-7419,media@carnival.com,media@carnival.com,Refrain from add'l sponsoring of Celeb Apprentice while Trump is producer,
Carson's,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,clothing & accessories,1 (800) 945-4438,1 (317) 971-6200,http://investors.bonton.com/contactus.cfm,christine.hojnacki@bonton.com,Stop selling Trump brand goods,178
DSW,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,shoes,1 (866) 379-7463,1 (614) 237-7100,http://www.dsw.com/dsw_shoes/customer_service/send_email.jsp,MediaRelations@dswinc.com,Stop selling Trump brand goods,53
